palabra;definicion;grammatical;nivel2;tematica;nivel
close;to shut;adjective & adverb & verb;B1 Preliminar;;
after;following in time;adjective & conjunction & preposition;B1 Preliminar;;
double;;adjective & determiner;B1 Preliminar;;
other;having the quality of being other;adjective & determiner & pronoum;B1 Preliminar;;
few;not many;adjective & determiner & pronoum;B1 Preliminar;;
little;;adjective & determiner & pronoum;B1 Preliminar;;
adult;a adult;adjective & noun;B1 Preliminar;;
dark;a dark;adjective & noun;B1 Preliminar;;
fair;a fair;adjective & noun;B1 Preliminar;;
final;a final;adjective & noun;B1 Preliminar;;
folk;a folk;adjective & noun;B1 Preliminar;;
glass;a glass;adjective & noun;B1 Preliminar;Food & drink;
human;a human;adjective & noun;B1 Preliminar;;
male;a male;adjective & noun;B1 Preliminar;;
orange;a round citrus fruit;adjective & noun;B1 Preliminar;Colours;
silk;a silk;adjective & noun;B1 Preliminar;Clothes;
silver;a silver;adjective & noun;B1 Preliminar;Colours;
square;a square;adjective & noun;B1 Preliminar;Places;
total;a total;adjective & noun;B1 Preliminar;;
whole;a whole;adjective & noun;B1 Preliminar;;
flat;an apartment or level surface;adjective & noun;B1 Preliminar;House and Home;
fun;enjoyment, amusement, or lighthearted pleasure;adjective & noun;B1 Preliminar;Entertainment and Media;
kind;friendly and caring;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
comic;funny or a magazine with pictures;adjective & noun;B1 Preliminar;Entertainment and Media;
grey;having a color between black and white;adjective & noun;B1 Preliminar;;
purple;having a color between red and blue;adjective & noun;B1 Preliminar;Colours;
cold;having a low temperature;adjective & noun;B1 Preliminar;Weather;
pink;having a pale red color;adjective & noun;B1 Preliminar;Colours;
sweet;having a sugary taste;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
green;having the color of grass;adjective & noun;B1 Preliminar;Colours;
blue;having the color of the sky;adjective & noun;B1 Preliminar;Colours;
brown;having the color of wood or chocolate;adjective & noun;B1 Preliminar;Colours;
black;having the darkest color;adjective & noun;B1 Preliminar;Colours;
fine;of high quality;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
magic;special powers or tricks that seem impossible;adjective & noun;B1 Preliminar;Entertainment and Media;
front;the forward part;adjective & noun;B1 Preliminar;;
top;the highest part;adjective & noun;B1 Preliminar;;
cream;thick part of milk;adjective & noun;B1 Preliminar;Food & drink;
bottom;;adjective & noun;B1 Preliminar;;
female;;adjective & noun;B1 Preliminar;;
future;;adjective & noun;B1 Preliminar;;
ground;;adjective & noun;B1 Preliminar;;
public;;adjective & noun;B1 Preliminar;;
secret;;adjective & noun;B1 Preliminar;;
single;;adjective & noun;B1 Preliminar;;
plastic;;adjective & noun;B1 Preliminar;Clothes;
antique;;adjective & noun;B1 Preliminar;House and Home;
patient;;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
average;;adjective & noun;B1 Preliminar;;
capital;;adjective & noun;B1 Preliminar;;
maximum;;adjective & noun;B1 Preliminar;;
minimum;;adjective & noun;B1 Preliminar;;
favourite;;adjective & noun;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
duty-free;;adjective & noun;B1 Preliminar;Transport;
cardboard;;adjective & noun;B1 Preliminar;;
northeast;;adjective & noun;B1 Preliminar;;
northwest;;adjective & noun;B1 Preliminar;;
southeast;;adjective & noun;B1 Preliminar;;
southwest;;adjective & noun;B1 Preliminar;;
vegetarian;;adjective & noun;B1 Preliminar;Food & drink;
underground;;adjective & noun;B1 Preliminar;Places;
professional;;adjective & noun;B1 Preliminar;Work;
past;gone by in time;adjective & noun & preposition;B1 Preliminar;Time;
light;a light;adjective & noun & verb;B1 Preliminar;House and Home;
waste;a waste;adjective & noun & verb;B1 Preliminar;Environment;
present;;adjective & noun & verb;B1 Preliminar;;
own;belonging to yourself;adjective & pronoum & verb;B1 Preliminar;;
clear;easy to understand;adjective & verb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
cool;fairly cold or fashionable;adjective & verb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
dry;free from moisture;adjective & verb;B1 Preliminar;Weather;
fit;in good physical condition;adjective & verb;B1 Preliminar;Health;
open;not closed;adjective & verb;B1 Preliminar;;
clean;to clean;adjective & verb;B1 Preliminar;Health;
hurt;to hurt;adjective & verb;B1 Preliminar;Health;
roast;to roast;adjective & verb;B1 Preliminar;;
shut;to shut;adjective & verb;B1 Preliminar;;
spare;to spare;adjective & verb;B1 Preliminar;;
tidy;to tidy;adjective & verb;B1 Preliminar;;
direct;;adjective & verb;B1 Preliminar;;
complete;;adjective & verb;B1 Preliminar;;
dark;a dark;adjective;A1 Movers;;
fair;a fair;adjective;A1 Movers;Animals;
late;after the expected time;adjective;A1 Movers;Time;
far;at or to a great distance;adjective;A1 Movers;;
early;before the expected time;adjective;A1 Movers;Time;
alone;by yourself;adjective;A1 Movers;;
funny;causing laughter;adjective;Pre A1 Starters;;
sure;certain or confident;adjective;A2 Flyers;;
wet;covered with water;adjective;A1 Movers;;
all;every one of something;adjective;A1 Movers;;
Dear;expensive or beloved;adjective;A2 Flyers;;
dear;expensive or beloved;adjective;A1 Movers;;
high;extending far upward;adjective;A1 Movers;;
cool;fairly cold or fashionable;adjective;Pre A1 Starters;;
quick;fast;adjective;A1 Movers;;
sick;feeling ill;adjective;A1 Movers;Health;
happy;feeling pleasure;adjective;Pre A1 Starters;;
angry;feeling strong displeasure;adjective;Pre A1 Starters;;
sad;feeling unhappy or sorrowful;adjective;Pre A1 Starters;;
bored;feeling weary from lack of interest;adjective;A1 Movers;;
dry;free from moisture;adjective;A1 Movers;;
foggy;full of fog;adjective;A1 Movers;Weather;
sunny;full of sunshine;adjective;A1 Movers;Weather;
gray;having a color between black and white;adjective;Pre A1 Starters;Colours;
grey;having a color between black and white;adjective;Pre A1 Starters;Colours;
purple;having a color between red and blue;adjective;Pre A1 Starters;Colours;
hot;having a high temperature;adjective;A1 Movers;;
rich;having a lot of money;adjective;A2 Flyers;;
busy;having a lot to do;adjective;A1 Movers;;
pink;having a pale red color;adjective;Pre A1 Starters;Colours;
sweet;having a sugary taste;adjective;A1 Movers;;
fat;having excess body weight or tissue;adjective;A1 Movers;Animals;
lucky;having good fortune;adjective;A2 Flyers;;
tall;having great height;adjective;A1 Movers;;
poor;having little money;adjective;A2 Flyers;;
old;having lived for a long time;adjective;Pre A1 Starters;Family & friends;
young;having lived for a short time;adjective;Pre A1 Starters;Family & friends;
warm;having moderate heat;adjective;A2 Flyers;;
red;having the color of blood or fire;adjective;Pre A1 Starters;Colours;
green;having the color of grass;adjective;Pre A1 Starters;Colours;
white;having the color of snow;adjective;Pre A1 Starters;Colours;
blue;having the color of the sky;adjective;Pre A1 Starters;Colours;
yellow;having the color of the sun or lemons;adjective;Pre A1 Starters;Colours;
brown;having the color of wood or chocolate;adjective;Pre A1 Starters;Colours;
black;having the darkest color;adjective;Pre A1 Starters;Colours;
afraid;having the quality of being afraid;adjective;A1 Movers;;
awake;having the quality of being awake;adjective;A1 Movers;;
blonde;having the quality of being blonde;adjective;A1 Movers;Animals;
boring;having the quality of being boring;adjective;A1 Movers;;
clever;having the quality of being clever;adjective;A1 Movers;;
curly;having the quality of being curly;adjective;A1 Movers;Animals;
dirty;having the quality of being dirty;adjective;Pre A1 Starters;;
empty;having the quality of being empty;adjective;A1 Movers;;
famous;having the quality of being famous;adjective;A1 Movers;;
full;having the quality of being full;adjective;A1 Movers;;
furry;having the quality of being furry;adjective;A1 Movers;;
huge;having the quality of being huge;adjective;A1 Movers;;
large;having the quality of being large;adjective;A1 Movers;;
loud;having the quality of being loud;adjective;A1 Movers;;
lovely;having the quality of being lovely;adjective;A2 Flyers;;
middle;having the quality of being middle;adjective;A2 Flyers;Places;
safe;having the quality of being safe;adjective;A1 Movers;;
scary;having the quality of being scary;adjective;Pre A1 Starters;;
short;having the quality of being short;adjective;Pre A1 Starters;;
silly;having the quality of being silly;adjective;Pre A1 Starters;;
sore;having the quality of being sore;adjective;A2 Flyers;;
strong;having the quality of being strong;adjective;A1 Movers;;
thin;having the quality of being thin;adjective;A1 Movers;Animals;
third;having the quality of being third;adjective;A1 Movers;;
ugly;having the quality of being ugly;adjective;Pre A1 Starters;;
weak;having the quality of being weak;adjective;A1 Movers;;
well;in good health;adjective;A1 Movers;;
wrong;incorrect;adjective;A1 Movers;;
big;large in size or extent;adjective;Pre A1 Starters;;
small;little in size;adjective;Pre A1 Starters;;
wild;living in nature;adjective;A2 Flyers;Animals;
noisy;making a lot of sound;adjective;A2 Flyers;;
quiet;making little sound;adjective;A1 Movers;;
long;measuring a great distance;adjective;Pre A1 Starters;Time;
tired;needing rest or sleep;adjective;A1 Movers;Health;
easy;not difficult;adjective;A1 Movers;;
cheap;not expensive;adjective;A1 Movers;;
ill;not feeling well or healthy;adjective;A1 Movers;Health;
soft;not hard;adjective;A2 Flyers;;
low;not high or tall;adjective;A2 Flyers;;
slow;not moving fast;adjective;A1 Movers;;
fine;of high quality;adjective;A1 Movers;Health;
good;of high quality or morally right;adjective;Pre A1 Starters;;
bad;of poor quality or morally wrong;adjective;A1 Movers;;
nice;pleasant or kind;adjective;Pre A1 Starters;;
ready;prepared;adjective;A2 Flyers;;
new;recently made or created;adjective;Pre A1 Starters;;
brave;showing courage;adjective;A1 Movers;;
hard;solid and firm or difficult;adjective;A1 Movers;;
best;to best;adjective;A1 Movers;;
better;to better;adjective;A1 Movers;;
clean;to clean;adjective;Pre A1 Starters;;
deep;to deep;adjective;A1 Movers;;
fast;to fast;adjective;A1 Movers;;
first;to first;adjective;A1 Movers;;
last;to last;adjective;A1 Movers;;
next;to next;adjective;A2 Flyers;;
online;to online;adjective;A2 Flyers;Sports & leisure;
pretty;to pretty;adjective;A1 Movers;;
same;to same;adjective;A2 Flyers;;
tidy;to tidy;adjective;A2 Flyers;;
worse;to worse;adjective;A1 Movers;;
worst;to worst;adjective;A1 Movers;;
lazy;unwilling to work;adjective;A1 Movers;;
great;very good or large;adjective;Pre A1 Starters;;
hungry;wanting to eat;adjective;A1 Movers;Food & drink;
heavy;weighing a lot;adjective;A1 Movers;;
windy;with strong winds;adjective;A1 Movers;Weather;
racing;;adjective;A2 Flyers;Transport;
cloudy;;adjective;A1 Movers;Weather;
asleep;;adjective;A1 Movers;;
broken;;adjective;A1 Movers;;
closed;;adjective;Pre A1 Starters;;
double;;adjective;Pre A1 Starters;;
enough;;adjective;A1 Movers;;
little;;adjective;A1 Movers;;
second;;adjective;A1 Movers;;
unkind;;adjective;A2 Flyers;;
untidy;;adjective;A2 Flyers;;
extinct;;adjective;A1 Movers;Animals;
spotted;;adjective;A2 Flyers;Colours;
striped;;adjective;A2 Flyers;Colours;
married;;adjective;A2 Flyers;Family & friends;
thirsty;;adjective;A1 Movers;Food & drink;
several;;adjective;A2 Flyers;Numbers;
correct;;adjective;Pre A1 Starters;School;
amazing;;adjective;A1 Movers;;
careful;;adjective;A1 Movers;;
excited;;adjective;A1 Movers;;
missing;;adjective;A2 Flyers;;
naughty;;adjective;A1 Movers;;
pleased;;adjective;A2 Flyers;;
popular;;adjective;A2 Flyers;;
special;;adjective;A2 Flyers;;
strange;;adjective;A2 Flyers;;
unhappy;;adjective;A2 Flyers;;
unusual;;adjective;A2 Flyers;;
worried;;adjective;A2 Flyers;;
straight;;adjective;A1 Movers;Places;
favorite;;adjective;Pre A1 Starters;Sports & leisure;
enormous;;adjective;A1 Movers;;
exciting;;adjective;A1 Movers;;
friendly;;adjective;A1 Movers;;
horrible;;adjective;A1 Movers;;
terrible;;adjective;A1 Movers;;
favourite;;adjective;Pre A1 Starters;Sports & leisure;
beautiful;;adjective;Pre A1 Starters;;
brilliant;;adjective;A1 Movers;;
dangerous;;adjective;A1 Movers;;
delicious;;adjective;A1 Movers;;
different;;adjective;A1 Movers;;
difficult;;adjective;A1 Movers;;
excellent;;adjective;A1 Movers;;
expensive;;adjective;A1 Movers;;
fantastic;;adjective;Pre A1 Starters;;
important;;adjective;A1 Movers;;
surprised;;adjective;A1 Movers;;
wonderful;;adjective;A2 Flyers;;
frightened;;adjective;A1 Movers;;
interested;;adjective;A1 Movers;;
unfriendly;;adjective;A2 Flyers;;
frightening;;adjective;A1 Movers;;
interesting;;adjective;A1 Movers;;
yes;affirmative answer;adverb;B1 Preliminar;;
never;at no time;adverb;B1 Preliminar;;
far;at or to a great distance;adverb;B1 Preliminar;Transport;
now;at the present time;adverb;B1 Preliminar;;
out;away from the inside;adverb;B1 Preliminar;;
why;for what reason;adverb;B1 Preliminar;;
there;in that place;adverb;B1 Preliminar;;
ago;in the past;adverb;B1 Preliminar;;
here;in this place;adverb;B1 Preliminar;;
how;in what way or manner;adverb;B1 Preliminar;;
too;more than is good;adverb;B1 Preliminar;;
again;to again;adverb;B1 Preliminar;;
ahead;to ahead;adverb;B1 Preliminar;;
alike;to alike;adverb;B1 Preliminar;;
aloud;to aloud;adverb;B1 Preliminar;;
also;to also;adverb;B1 Preliminar;;
apart;to apart;adverb;B1 Preliminar;;
away;to away;adverb;B1 Preliminar;;
badly;to badly;adverb;B1 Preliminar;;
down;to down;adverb;B1 Preliminar;;
else;to else;adverb;B1 Preliminar;;
even;to even;adverb;B1 Preliminar;;
ever;to ever;adverb;B1 Preliminar;;
fully;to fully;adverb;B1 Preliminar;;
just;to just;adverb;B1 Preliminar;;
maybe;to maybe;adverb;B1 Preliminar;;
often;to often;adverb;B1 Preliminar;;
once;to once;adverb;B1 Preliminar;;
p.m.;to p.m.;adverb;B1 Preliminar;;
quite;to quite;adverb;B1 Preliminar;;
soon;to soon;adverb;B1 Preliminar;;
then;to then;adverb;B1 Preliminar;;
twice;to twice;adverb;B1 Preliminar;;
very;to very;adverb;B1 Preliminar;;
when;to when;adverb;B1 Preliminar;;
yet;up to now;adverb;B1 Preliminar;;
not;used to make a negative;adverb;B1 Preliminar;;
abroad;;adverb;B1 Preliminar;Transport;
almost;;adverb;B1 Preliminar;;
always;;adverb;B1 Preliminar;;
anyway;;adverb;B1 Preliminar;;
easily;;adverb;B1 Preliminar;;
fairly;;adverb;B1 Preliminar;;
hardly;;adverb;B1 Preliminar;;
indeed;;adverb;B1 Preliminar;;
lately;;adverb;B1 Preliminar;;
loudly;;adverb;B1 Preliminar;;
mainly;;adverb;B1 Preliminar;;
mostly;;adverb;B1 Preliminar;;
nearly;;adverb;B1 Preliminar;;
partly;;adverb;B1 Preliminar;;
rarely;;adverb;B1 Preliminar;;
rather;;adverb;B1 Preliminar;;
really;;adverb;B1 Preliminar;;
safely;;adverb;B1 Preliminar;;
slowly;;adverb;B1 Preliminar;;
unusual;;adverb;B1 Preliminar;Personal Feelings, Opinions and Experiences (Adjectives);
o'clock;;adverb;B1 Preliminar;Time;
already;;adverb;B1 Preliminar;;
anymore;;adverb;B1 Preliminar;;
clearly;;adverb;B1 Preliminar;;
exactly;;adverb;B1 Preliminar;;
